ANDAR,CORREDOR,SKU,PECAS
0,43,SKU_9206,2
0,43,SKU_909,188
0,43,SKU_22076,3
0,43,SKU_802,507
0,43,SKU_17501,84
0,43,SKU_3458,83
0,43,SKU_10410,23
0,43,SKU_19261,77
0,43,SKU_10288,53
0,43,SKU_10289,68
0,43,SKU_19645,21
0,44,SKU_17045,1
0,44,SKU_17130,11
0,44,SKU_17025,145
0,44,SKU_17026,59
0,44,SKU_17028,1
0,44,SKU_17071,183
0,44,SKU_17954,153
0,44,SKU_17037,2
0,44,SKU_17248,4
0,44,SKU_16956,87
0,44,SKU_16958,64
0,44,SKU_1611,234
0,44,SKU_16874,32
0,44,SKU_195,47
0,45,SKU_17904,48
0,45,SKU_17032,54
0,45,SKU_20295,55
0,45,SKU_19431,80
0,45,SKU_296,45
0,45,SKU_299,41
0,45,SKU_13139,30
0,45,SKU_4995,12
0,45,SKU_2987,1
0,45,SKU_19226,160
0,45,SKU_744,22
0,45,SKU_2827,277
0,45,SKU_586,130
0,45,SKU_2539,73
0,45,SKU_2540,733
0,45,SKU_2542,366
0,45,SKU_2543,65
0,45,SKU_100,17
0,45,SKU_5262,1
0,45,SKU_960,17
0,45,SKU_3282,72
0,45,SKU_11076,14
0,45,SKU_2056,117
0,45,SKU_2057,93
0,45,SKU_19311,24
0,45,SKU_3548,60
0,45,SKU_851,69
0,46,SKU_17046,1
0,46,SKU_17130,159
0,46,SKU_22,2
0,46,SKU_17025,61
0,46,SKU_17026,301
0,46,SKU_19368,1
0,46,SKU_17148,83
0,46,SKU_17035,148
0,46,SKU_17036,28
0,46,SKU_18030,5
0,46,SKU_17109,100
0,46,SKU_17111,202
0,46,SKU_17183,19
0,46,SKU_17113,21
0,46,SKU_17264,2
0,46,SKU_1281,2
0,46,SKU_17781,58
0,46,SKU_19378,4
0,46,SKU_4972,1
0,46,SKU_19519,55
0,46,SKU_19227,324
0,47,SKU_19332,33
0,47,SKU_19451,2
0,47,SKU_17052,22
0,47,SKU_20384,7
0,47,SKU_17032,62
0,47,SKU_19431,55
0,47,SKU_300,62
0,47,SKU_13892,28
0,47,SKU_13893,73
0,47,SKU_4976,1
0,47,SKU_17361,201
0,47,SKU_17745,6
0,47,SKU_17537,221
0,47,SKU_17538,95
0,47,SKU_19226,125
0,47,SKU_740,126
0,47,SKU_788,256
0,47,SKU_818,181
0,47,SKU_2056,107
0,47,SKU_2057,255
0,47,SKU_2058,113
0,47,SKU_2060,34
0,47,SKU_17681,70
0,47,SKU_17768,64
0,47,SKU_19642,113
0,47,SKU_3535,211
0,47,SKU_3548,45
0,47,SKU_3613,50
0,47,SKU_10288,83
0,47,SKU_10289,153
0,48,SKU_13065,90
0,48,SKU_17046,14
0,48,SKU_17026,1
0,48,SKU_17148,78
0,48,SKU_17030,6
0,48,SKU_17090,63
0,48,SKU_17071,295
0,48,SKU_17035,168
0,48,SKU_17036,94
0,48,SKU_18030,1
0,48,SKU_18097,2
0,48,SKU_17264,218
0,48,SKU_16956,5
0,48,SKU_13836,55
0,49,SKU_296,25
0,49,SKU_14008,1
0,49,SKU_4976,1
0,49,SKU_14261,161
0,49,SKU_743,40
0,49,SKU_3134,28
0,49,SKU_3135,34
0,49,SKU_17276,34
0,49,SKU_98,95
