         6515894713 function calls (6356657814 primitive calls) in 1951.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 36602465    6.518    0.000    7.540    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2004(internal_values)
 32611549    7.448    0.000    7.448    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/flags.py:51(__init__)
  4041745    1.610    0.000    7.398    0.000 {method 'max' of 'numpy.ndarray' objects}
  8163368    3.245    0.000    7.342    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1375(_is_dtype)
 12398772    6.687    0.000    7.119    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:6284(__getattr__)
 12256637    5.084    0.000    7.099    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/_config/config.py:635(_get_root)
 24873552    3.785    0.000    7.033    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1590(<genexpr>)
 36292893    4.778    0.000    6.920    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:981(<genexpr>)
 12260663    4.237    0.000    6.773    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2674(get_block_type)
 28516374    4.746    0.000    6.754    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/common.py:372(apply_if_callable)
 12097634    4.235    0.000    6.633    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/base.py:549(find)
 36355926    4.863    0.000    6.587    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:2772(<genexpr>)
  4073650    0.942    0.000    6.422    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:51(_sum)
    21011    0.104    0.000    6.383    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:882(__setitem__)
  8147300    4.038    0.000    6.157    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:7723(_unpack_nested_dtype)
